flight_number,aircraft,origin_airport,destination_airport,actual_departure
XY 683,Airbus A321-200 (Sharklets),,,2026-06-27 19:40Z
SD 221,Airbus A320,,,2026-06-27 17:30Z
MH 9890,Airbus A319,,,2026-06-27 17:25Z
BA 1338,Airbus A319,,,2026-06-27 17:25Z
JL 6513,Airbus A319,,,2026-06-27 17:25Z
IB 3713,Airbus A319,,,2026-06-27 17:25Z
CX 7243,Airbus A319,,,2026-06-27 17:25Z
LA 5513,Airbus A319,,,2026-06-27 17:25Z
BA 894,Airbus A320 NEO,,,2026-06-27 17:00Z
AA 6738,Airbus A320 NEO,,,2026-06-27 17:00Z
JL 7827,Airbus A320 NEO,,,2026-06-27 17:00Z
G3 5097,Airbus A220-300,,,2026-06-27 16:35Z
DL 8619,Airbus A220-300,,,2026-06-27 16:35Z
AM 6045,Airbus A220-300,,,2026-06-27 16:35Z
VS 6657,Airbus A220-300,,,2026-06-27 16:35Z
UU 8281,Airbus A220-300,,,2026-06-27 16:35Z
AF 1281,Airbus A220-300,,,2026-06-27 16:35Z
MK 9417,Airbus A220-300,,,2026-06-27 16:35Z
KQ 3081,Airbus A220-300,,,2026-06-27 16:35Z
LA 5501,Airbus A321 NEO,,,2026-06-27 16:25Z
QR 6019,Airbus A321 NEO,,,2026-06-27 16:25Z
AT 5230,Airbus A321 NEO,,,2026-06-27 16:25Z
AY 5923,Airbus A321 NEO,,,2026-06-27 16:25Z
BA 1490,Airbus A321 NEO,,,2026-06-27 16:25Z
AA 6709,Airbus A321 NEO,,,2026-06-27 16:25Z
JL 7787,Airbus A321 NEO,,,2026-06-27 16:25Z
AY 5999,Boeing 787-8,,,2026-06-27 16:05Z
IB 3533,Boeing 787-8,,,2026-06-27 16:05Z
EI 8799,Boeing 787-8,,,2026-06-27 16:05Z
AA 6922,Boeing 787-8,,,2026-06-27 16:05Z
BA 99,Boeing 787-8,,,2026-06-27 16:05Z
AS 5309,Airbus A319,,,2026-06-27 15:55Z
B6 6254,Airbus A319,,,2026-06-27 15:55Z
QR 9784,Airbus A320,,,2026-06-27 15:55Z
AA 7156,Airbus A319,,,2026-06-27 15:55Z
AA 7171,Airbus A320,,,2026-06-27 15:55Z
CX 7116,Airbus A319,,,2026-06-27 15:55Z
BA 542,Airbus A320,,,2026-06-27 15:55Z
BA 388,Airbus A319,,,2026-06-27 15:55Z
BA 1402,Airbus A319,,,2026-06-27 15:45Z
QR 8310,Airbus A319,,,2026-06-27 15:45Z
AA 7140,Airbus A319,,,2026-06-27 15:45Z
LA 5489,Airbus A319,,,2026-06-27 15:45Z
EI 8402,Airbus A319,,,2026-06-27 15:45Z
3F 878,Airbus A321,,,2026-06-27 15:40Z
AA 7128,Airbus A321 NEO,,,2026-06-27 15:15Z
BA 1370,Airbus A321 NEO,,,2026-06-27 15:15Z
JL 7795,Airbus A321 NEO,,,2026-06-27 15:15Z
BA 308,Airbus A319,,,2026-06-27 14:45Z
BA 776,Airbus A320,,,2026-06-27 14:45Z
AA 7115,Airbus A320,,,2026-06-27 14:45Z
CX 7104,Airbus A320,,,2026-06-27 14:45Z
AY 5926,Airbus A320,,,2026-06-27 14:45Z
QR 8308,Airbus A320,,,2026-06-27 14:45Z
AA 7213,Airbus A319,,,2026-06-27 14:45Z
MH 9668,Airbus A319,,,2026-06-27 14:45Z
AA 6607,Airbus A320 NEO,,,2026-06-27 14:30Z
LA 5505,Airbus A320 NEO,,,2026-06-27 14:30Z
B6 6302,Airbus A320 NEO,,,2026-06-27 14:30Z
QR 6285,Airbus A320 NEO,,,2026-06-27 14:30Z
BA 362,Airbus A320 NEO,,,2026-06-27 14:30Z
IB 3614,Airbus A380-800,,,2026-06-27 14:05Z
AA 6984,Airbus A380-800,,,2026-06-27 14:05Z
EI 8969,Airbus A380-800,,,2026-06-27 14:05Z
AS 5291,Airbus A380-800,,,2026-06-27 14:05Z
AY 5459,Airbus A380-800,,,2026-06-27 14:05Z
BA 269,Airbus A380-800,,,2026-06-27 14:05Z
BA 462,Airbus A320,,,2026-06-27 13:40Z
AA 6806,Airbus A320,,,2026-06-27 13:40Z
IB 3647,Airbus A320,,,2026-06-27 13:40Z
BA 332,Airbus A320,,,2026-06-27 13:25Z
QR 9730,Airbus A320,,,2026-06-27 13:25Z
AA 6747,Airbus A320,,,2026-06-27 13:25Z
JL 7831,Airbus A319,,,2026-06-27 13:05Z
AA 6878,Airbus A319,,,2026-06-27 13:05Z
BA 788,Airbus A319,,,2026-06-27 13:05Z
BA 854,Airbus A320,,,2026-06-27 12:50Z
AA 6795,Airbus A320,,,2026-06-27 12:50Z
AA 6707,Airbus A320,,,2026-06-27 12:45Z
BA 874,Airbus A320,,,2026-06-27 12:45Z
JL 7829,Airbus A320,,,2026-06-27 12:45Z
QR 5957,Airbus A320,,,2026-06-27 12:00Z
EI 8330,Airbus A320,,,2026-06-27 12:00Z
